,embedding,model
328,"[-27.54876520666112, 10.233527675476711]",0
329,"[-28.504186156235182, 9.805818510722721]",0
330,"[-30.56800694394087, 8.860565812075672]",0
331,"[-39.53476434193225, 6.725000475408546]",0
332,"[-40.36246359831645, 6.376062263389271]",0
333,"[-40.983300592973734, 6.229185245362256]",0
334,"[-41.87512872867544, 5.935704140401482]",0
335,"[-43.75692249647508, 5.133448035435611]",0
336,"[-46.14336303331145, 4.784593962713588]",0
337,"[-48.5689496329226, 4.739354414334085]",0
338,"[-12.552504359006472, -1.5840825913162335]",0
339,"[20.70211185625463, -2.6511015504804134]",0
340,"[22.23467260754404, -20.75095968522204]",0
341,"[36.44907779516725, -9.62913617292068]",0
342,"[36.58471599271493, -6.983804491941855]",0
343,"[0.39289003902248276, -41.4129907239465]",0
344,"[38.06166470786659, -12.007672271011483]",0
345,"[8.913352707990885, -25.33419464315304]",0
346,"[35.09269801879374, -12.28914234677438]",0
347,"[37.56954457655591, -13.862333919656905]",0
348,"[35.74786909959567, -8.332883465645327]",0
349,"[36.42366378816661, -6.067222893717126]",0
350,"[-0.4116722705666237, -42.69694686016121]",0
351,"[20.556611728442178, -20.060640982042486]",0
352,"[-3.949638805128322, 30.588079875431774]",0
353,"[25.508318617837173, 22.46131631603043]",0
354,"[25.651211934994244, 22.419964988960686]",0
355,"[25.73143718789592, 22.146407587576082]",0
356,"[26.472986164199828, 19.20790416066314]",0
357,"[26.50979001142989, 18.950307566447492]",0
358,"[23.709211998967522, 11.208790903534137]",0
359,"[-2.712055908240972, 9.29071819894299]",0
360,"[-23.788381732436005, -24.28036823079173]",0
361,"[-42.915784093323396, 0.7807729022382884]",0
362,"[-22.335196045805528, -27.414356470503588]",0
363,"[-22.06400009809078, -27.768475326738514]",0
364,"[-26.18073178185015, -29.991310299877565]",0
365,"[-23.444122535055687, -27.60433987561256]",0
366,"[-39.92756987613915, -0.07303007593736052]",0
367,"[-13.60301972490254, 24.37535997424441]",0
368,"[27.33067500059365, 19.542775996046633]",0
369,"[38.02563462405604, -3.748888403572843]",0
370,"[-8.657614858123463, 14.140037165996302]",0
371,"[34.83703469802784, -4.187586601141784]",0
372,"[7.112836061162442, -27.194327762536773]",0
373,"[35.487315801280346, -12.06698285998876]",0
